epoch,split,class_index,class_name,precision,recall,f1,support
8,val,12,Strawberry,1.000000,1.000000,1.000000,235
8,val,13,Tomato,0.994883,1.000000,0.997435,2722
9,val,0,Apple,0.995781,0.993684,0.994731,475
9,val,1,Blueberry,1.000000,1.000000,1.000000,225
9,val,2,Cherry_(including_sour),1.000000,0.989510,0.994728,286
9,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
9,val,4,Grape,1.000000,1.000000,1.000000,609
9,val,5,Orange,1.000000,1.000000,1.000000,826
9,val,6,Peach,0.995000,1.000000,0.997494,398
9,val,7,"Pepper,_bell",1.000000,1.000000,1.000000,371
9,val,8,Potato,0.996904,0.996904,0.996904,323
9,val,9,Raspberry,1.000000,1.000000,1.000000,56
9,val,10,Soybean,1.000000,1.000000,1.000000,764
9,val,11,Squash,1.000000,1.000000,1.000000,275
9,val,12,Strawberry,1.000000,1.000000,1.000000,235
9,val,13,Tomato,0.998899,0.999633,0.999266,2722
10,val,0,Apple,1.000000,0.997895,0.998946,475
10,val,1,Blueberry,1.000000,1.000000,1.000000,225
10,val,2,Cherry_(including_sour),1.000000,1.000000,1.000000,286
10,val,3,Corn_(maize),1.000000,1.000000,1.000000,578
10,val,4,Grape,1.000000,1.000000,1.000000,609
10,val,5,Orange,1.000000,1.000000,1.000000,826
10,val,6,Peach,0.997494,1.000000,0.998745,398
10,val,7,"Pepper,_bell",1.000000,1.000000,1.000000,371
10,val,8,Potato,1.000000,0.996904,0.998450,323
10,val,9,Raspberry,1.000000,1.000000,1.000000,56
10,val,10,Soybean,1.000000,1.000000,1.000000,764
10,val,11,Squash,1.000000,1.000000,1.000000,275
10,val,12,Strawberry,1.000000,1.000000,1.000000,235
10,val,13,Tomato,0.999633,1.000000,0.999816,2722
