mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__class_weight,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_sampler,params,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,split3_train_bal_acc,split4_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro
1.2578547477722168,0.23489893574639073,0.06032981872558594,0.005414020976516697,False,,gini,,sqrt,1,2,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7732142857142857,0.7572790556900727,0.779085956416465,0.7606537530266344,0.7534503631961259,0.7647366828087168,0.009771785224187408,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7703465618967744,0.7528810774012581,0.7745856381376581,0.7566444136270023,0.7506928893678317,0.761030116086105,0.009623386248147544,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.5862768650054933,0.2993975371123364,1.2667142391204833,2.3229048115948085,False,,gini,,sqrt,1,2,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7767857142857143,0.7558111380145277,0.7808716707021793,0.757082324455206,0.7605932203389832,0.766228813559322,0.010486253438540163,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7738397380759736,0.7511976738902101,0.7762042172366632,0.7531391506675452,0.7583489276740764,0.7625459415088937,0.010478398291362597,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.266547155380249,2.294097831992521,-1.2106642246246337,2.5272319106820738,False,,gini,,sqrt,1,5,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7857142857142857,0.7417826876513317,0.7701573849878934,0.7475786924939468,0.7584897094430995,0.7607445520581114,0.015811802539161365,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7824422018124556,0.7372850392086389,0.7646461345110104,0.7430565967611585,0.7567007706108914,0.756826148580831,0.016054940644920464,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.0569793701171877,0.16179102292526382,1.29513521194458,2.3821283100581927,False,,gini,,sqrt,1,5,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7767857142857143,0.7498184019370461,0.7740466101694917,0.7419037530266345,0.7597003631961261,0.7604509685230025,0.013485395612605734,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7729099331693353,0.7456545809615001,0.7677169760321166,0.7374394399925668,0.7571944002340094,0.7561830660779056,0.013236423051375111,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.023710346221924,0.19150947137927035,0.07154250144958496,0.019946296973268652,False,,gini,,sqrt,2,2,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7666666666666667,0.7358504842615012,0.7651180387409201,0.7392251815980629,0.7519824455205811,0.7517685633575464,0.01273522193659992,23,0.9995535714285714,0.9995535714285714,0.9993303571428571,0.9995535714285715,0.9995535714285714,0.9995089285714286,8.928571428571397e-05,0.7629985982255733,0.7302742527992236,0.7594660989670194,0.734501978459715,0.7486090711803345,0.7471699999263732,0.013036522087375097,22,0.9995535703386551,0.9995535703386552,0.9993303555079829,0.9995535703386551,0.9995535703386552,0.9995089273725206,8.928593226891213e-05
2.08514461517334,0.3182593512927834,0.1039278507232666,0.010171534667781892,False,,gini,,sqrt,2,2,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7648809523809524,0.7483504842615013,0.7612288135593219,0.736228813559322,0.7555538740920097,0.7532485875706215,0.010178156879116855,19,0.9995535714285714,0.9995535714285714,0.9995535714285714,0.9995535714285715,0.9997767857142856,0.9995982142857143,8.928571428569176e-05,0.7616572136185936,0.7434494832916954,0.7557795688719438,0.731089322105178,0.7525251832007923,0.7489001542176406,0.010678439022209657,18,0.9995535703386551,0.9995535703386552,0.9995535703386551,0.9995535703386551,0.9997767851693276,0.9995982133047896,8.928593226896763e-05
1.3030320644378661,0.17346522019805558,0.07996020317077637,0.028609624843804343,False,,gini,,sqrt,2,5,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7657738095238095,0.7453541162227603,0.7639073849878935,0.7374394673123488,0.7522397094430994,0.7529428974979823,0.010800858406029014,20,0.9986607142857141,0.9979910714285714,0.9984374999999999,0.9977678571428571,0.9984374999999999,0.9982589285714285,0.00032805666197984796,0.7621892035266372,0.7409060033439789,0.7569878352627776,0.7319461853559162,0.7491544263742321,0.7482367307727085,0.010873977428459084,20,0.9986610559794932,0.9979924360743252,0.9984378307943617,0.9977278443813117,0.9984385365204275,0.9982515407499839,0.00034022558443090535
2.054965114593506,0.25480408226710344,0.1078679084777832,0.02918286455115861,False,,gini,,sqrt,2,5,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7705357142857144,0.7426755447941887,0.7639073849878937,0.7392251815980629,0.7564467312348668,0.7545581113801454,0.012021262171071719,17,0.9982142857142856,0.9979910714285714,0.9982142857142856,0.9979910714285715,0.9984374999999999,0.9981696428571427,0.00016703827619522015,0.7669140487954007,0.7382319702186972,0.7576781502662541,0.7343500011713399,0.7528488997117073,0.7500046140326798,0.012137249684800457,16,0.9981739815576901,0.9979924360743252,0.9982142655505173,0.9979514085301151,0.9984385365204275,0.998154125646615,0.00017443529315941912
1.4080888271331786,4.0177696315945814,-1.1939306259155273,2.525334353491835,False,balanced,gini,,sqrt,1,2,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7714285714285716,0.750453995157385,0.7755145278450363,0.7499394673123488,0.7600181598062953,0.7614709443099275,0.010515087156376035,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7677013747278643,0.7461937726165048,0.7700757265631436,0.7455994729949724,0.7566584849825574,0.7572457663770085,0.010315573075920076,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.532394790649414,0.2835679752397444,0.11394376754760742,0.017457619027926738,False,balanced,gini,,sqrt,1,2,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7696428571428571,0.7492433414043586,0.7764073849878935,0.7570823244552057,0.7653753026634382,0.7635502421307507,0.009510817983067108,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7665591923337505,0.7451331221163063,0.7716281409472556,0.7532239436316249,0.762789853467113,0.7598668504992101,0.00951704053050726,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
