mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__class_weight,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_sampler,params,split0_test_bal_acc,split1_test_bal_acc,split2_test_bal_acc,split3_test_bal_acc,split4_test_bal_acc,mean_test_bal_acc,std_test_bal_acc,rank_test_bal_acc,split0_train_bal_acc,split1_train_bal_acc,split2_train_bal_acc,split3_train_bal_acc,split4_train_bal_acc,mean_train_bal_acc,std_train_bal_acc,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,approach,sampler_name
2.0688478469848635,0.3500135556440568,1.84428391456604,3.248147077956484,False,,gini,,sqrt,1,2,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7732142857142857,0.7572790556900727,0.779085956416465,0.7606537530266344,0.7534503631961259,0.7647366828087168,0.0097717852241874,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7703465618967744,0.7528810774012581,0.7745856381376581,0.7566444136270023,0.7506928893678317,0.761030116086105,0.0096233862481475,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,200,,2,1,sqrt,Baseline,passthrough
4.4790346145629885,0.7134596237960982,-1.1521588802337646,3.211714154615573,False,,gini,,sqrt,1,2,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7767857142857143,0.7558111380145277,0.7808716707021793,0.757082324455206,0.7605932203389832,0.766228813559322,0.0104862534385401,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7738397380759736,0.7511976738902101,0.7762042172366632,0.7531391506675452,0.7583489276740764,0.7625459415088937,0.0104783982913625,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,400,,2,1,sqrt,Baseline,passthrough
3.552307605743408,3.085049907101759,-1.4897852420806883,3.4541728857490246,False,,gini,,sqrt,1,5,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7857142857142857,0.7417826876513317,0.7701573849878934,0.7475786924939468,0.7584897094430995,0.7607445520581114,0.0158118025391613,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7824422018124556,0.7372850392086389,0.7646461345110104,0.7430565967611585,0.7567007706108914,0.756826148580831,0.0160549406449204,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,200,,5,1,sqrt,Baseline,passthrough
3.683273839950561,5.431270393479024,-1.1902632236480712,3.370396482381092,False,,gini,,sqrt,1,5,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7767857142857143,0.7498184019370461,0.7740466101694917,0.7419037530266345,0.7597003631961261,0.7604509685230025,0.0134853956126057,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7729099331693353,0.7456545809615001,0.7677169760321166,0.7374394399925668,0.7571944002340094,0.7561830660779056,0.0132364230513751,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,400,,5,1,sqrt,Baseline,passthrough
2.422504949569702,0.262600909012008,0.3655294418334961,0.0509871171090642,False,,gini,,sqrt,2,2,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7666666666666667,0.7358504842615012,0.7651180387409201,0.7392251815980629,0.7519824455205811,0.7517685633575464,0.0127352219365999,23,0.9995535714285714,0.9995535714285714,0.9993303571428572,0.9995535714285716,0.9995535714285714,0.9995089285714286,8.928571428571397e-05,0.7629985982255733,0.7302742527992236,0.7594660989670194,0.734501978459715,0.7486090711803345,0.7471699999263732,0.013036522087375,22,0.9995535703386552,0.9995535703386552,0.9993303555079828,0.9995535703386552,0.9995535703386552,0.9995089273725206,8.928593226891213e-05,200,,2,2,sqrt,Baseline,passthrough
4.8032043933868405,1.041940607302803,0.4275830268859863,0.2326461176548845,False,,gini,,sqrt,2,2,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7648809523809524,0.7483504842615013,0.7612288135593219,0.736228813559322,0.7555538740920097,0.7532485875706215,0.0101781568791168,19,0.9995535714285714,0.9995535714285714,0.9995535714285714,0.9995535714285716,0.9997767857142856,0.9995982142857144,8.928571428569176e-05,0.7616572136185936,0.7434494832916954,0.7557795688719438,0.731089322105178,0.7525251832007923,0.7489001542176406,0.0106784390222096,18,0.9995535703386552,0.9995535703386552,0.9995535703386552,0.9995535703386552,0.9997767851693276,0.9995982133047896,8.928593226896763e-05,400,,2,2,sqrt,Baseline,passthrough
-0.1460105895996093,3.3339680780399954,0.270167875289917,0.0347485995657816,False,,gini,,sqrt,2,5,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7657738095238095,0.7453541162227603,0.7639073849878935,0.7374394673123488,0.7522397094430994,0.7529428974979823,0.010800858406029,20,0.998660714285714,0.9979910714285714,0.9984375,0.9977678571428572,0.9984375,0.9982589285714284,0.0003280566619798,0.7621892035266372,0.7409060033439789,0.7569878352627776,0.7319461853559162,0.7491544263742321,0.7482367307727085,0.010873977428459,20,0.9986610559794932,0.9979924360743252,0.9984378307943615,0.9977278443813116,0.9984385365204276,0.998251540749984,0.0003402255844309,200,,5,2,sqrt,Baseline,passthrough
3.2037723541259764,0.388982345396134,0.4960440635681152,0.0436416087652049,False,,gini,,sqrt,2,5,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7705357142857144,0.7426755447941887,0.7639073849878937,0.7392251815980629,0.7564467312348668,0.7545581113801454,0.0120212621710717,17,0.9982142857142856,0.9979910714285714,0.9982142857142856,0.9979910714285716,0.9984375,0.9981696428571428,0.0001670382761952,0.7669140487954007,0.7382319702186972,0.7576781502662541,0.7343500011713399,0.7528488997117073,0.7500046140326798,0.0121372496848004,16,0.99817398155769,0.9979924360743252,0.9982142655505172,0.9979514085301152,0.9984385365204276,0.998154125646615,0.0001744352931594,400,,5,2,sqrt,Baseline,passthrough
2.0823108196258544,0.4769795157612995,0.2536905288696289,0.0229774160687244,False,balanced,gini,,sqrt,1,2,200,passthrough,"{'model__bootstrap': False, 'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'sampler': 'passthrough'}",0.7714285714285716,0.750453995157385,0.7755145278450363,0.7499394673123488,0.7600181598062953,0.7614709443099275,0.010515087156376,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7677013747278643,0.7461937726165048,0.7700757265631436,0.7455994729949724,0.7566584849825574,0.7572457663770085,0.01031557307592,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,200,,2,1,sqrt,ClassWeight balanced,passthrough
2.5353180408477782,3.40717805897205,0.4504714965820312,0.0266020684403211,False,balanced,gini,,sqrt,1,2,400,passthrough,"{'model__bootstrap': False, 'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400, 'sampler': 'passthrough'}",0.7696428571428571,0.7492433414043586,0.7764073849878935,0.7570823244552057,0.7653753026634382,0.7635502421307507,0.0095108179830671,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7665591923337505,0.7451331221163063,0.7716281409472556,0.7532239436316249,0.762789853467113,0.7598668504992101,0.0095170405305072,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,400,,2,1,sqrt,ClassWeight balanced,passthrough
